"","x"
"1","17-2920"
"2","17-5643"
"3","17-7978"
"4","17-8036"
"5","17-8152"
"6","17-8832"
"7","17-8930"
"8","17-8948"
"9","17-9968"
"10","17-12623"
"11","17-15667"
"12","17-18159"
"13","17-18176"
"14","17-18320"
"15","17-20426"
"16","17-22168"
"17","17-23868"
"18","17-23912"
"19","17-27660"
"20","17-27914"
"21","17-28445"
"22","17-30219"
"23","17-31616"
"24","US16-IL-061-179"
"25","US16-IL-062-068"
"26","US16-IL-064-229"
"27","US16-IL-065-031"
"28","US16-IL-065-113"
"29","US16-IL-066-044"
"30","US16-IL-066-090"
